acronym,detail
ack,acknowledgement
afaict,as far as i can tell
afaik,as far as i know
aoa,analysis of alternatives
asap,as soon as possible
bbl,brown bag lunch
ccw,comment and criticism welcome
cla,contributor license agreement
cli,command line interface
cmv,change my view
coc,code of conduct
concept ack,concept acknowledgement
devops,devlopment operations
di/dip,dependency inversion principle
dod,definition of done
dry,don't repeat yourself
dto,data transfer object
dx,developer experience
ebkac,error between keyboard and chair
eta,estimated time of arrival
fomo,fear of missing out
foss/floss,free & open source software
fouc,flash of unstyled content
fp,functional programming
fya,for your action
fyi,for your information
gui,graphical user interface
ianal,i am not a lawyer
icymi,in case you missed it
iirc,if i recall correctly
imo,in my opinion
itt,in this thread
kiss,keep it simple stupid
lgtm,looks good to me
loc/sloc,source lines of code
mcve,minimal complete valid/verfiable example
mpa,multi-page application
mr,merge request
mre,minimal reproducible example
mvc,model view controller
mvp,minimum viable product
mvvm,model view viewmodel
nack/nak,negative acknowledgement
nih,not invented here
np,no problem
oop,object oriented programming
op,original post/original poster
pebcak,problem exists between chair and keyboard
pebkac,problem exists between keyboard and chair
pebmac,problem exists between monitor and chair
pebuak,problem exists between user and keyboard
picnic,problem in chair not in computer
pobcak,a us government/military acronym for problem occurs between chair and keyboard
pr,pull request
raci,responsible accountable consulted and informed
rce,remote code execution
reprex,reproducible example
rfc,request for comments
rfi,request for information
rfp,request for proposal
rtfm,read the f*****g manual
scm,source code management
se,software engineer or system engineer
solid,single responsibility open-closed liskov substitution interface segregation and dependency inversion
spa,single-page application
sre,site reliability engineer
srp,single-responsibility principle
ssoc,social summer of code
swe,software engineer
tbd,to be defined/done
tested ack,tested acknowledgment
til,today i learned
tysm,thank you so much
utack,untested acknowledgment
vcs,version control software
wdyt,what do you think
wip,work in progress
wrt,with respect to
wysiwyg,what you see is what you get
xp,extreme programming
yagni,you ain't gonna need it
ymmv,your mileage may vary
afk,away from keyboard
brb,be right back
cmiiw,correct me if i'm wrong
ikr,i know right
ily,i love you
irl,in real life
iykyk,if you know you know
lfg,let's freaking go
lmfao,laughing my freaking *a* off
lmk,let me know
lol,laugh out loud
ltr,left to right
nvm,never mind
ofc,of course
rofl,rolling on floor laughing
rtl,right to left
smh,shaking my head
stfu,shut the *freak* up
ttyl,talk to you later
tyvm,thank you very much
yolo,you only live once
aws,amazon web services
fsf,free software foundation
gh,github
gnu,collection of free software a license
ms,microsoft
osi,open source initiative
so,stackoverflow
efk,elasticsearch fluentd and kibana
elk,elasticsearch logstash and kibana
lamp,linux apache mysql php perl or python
lemp,linux nginx server mysql php perl or python
mean,mongodb express.js angular.js node.js
mern,mongodb express.js react.js node.js
safe,suave or saturn azure fable elmish
lmao,laugh my ass off
am/pm,abbreviations for ante meridiem and post meridiem
bogo,buy one get one
bopus,buy online pick up in store
fwiw,an abbreviation meaning for what it’s worth
laser,light amplification by stimulated emission of radiation
ms.,commonly considered an abbreviation for miss but technically it’s not an abbreviation for anything. the period is there to indicate that it’s a valid title for adults to use.
p.s.,an abbreviation for postscript
pin,personal identification number
radar,radio detecting and ranging
rip,rest in peace this can also be an initialism as some people say r i p
scuba,self-contained underwater breathing apparatus
smart,specific measurable attainable realistic time-bound commonly used when setting goals
snafu,situation normal all fouled up
sohcahtoa,acronym used in mathematics to remember the trigonometric functions sine cosine and tangent.
sonar,sound navigation and ranging
sos,commonly assumed to stand for save our ship but technically the international distress signal doesn’t stand for anything
taser,tom a. swift electric rifle
vin,vehicle identification number
wd-40,water displacement 40th formula
zip,zone improvement plan
ajax,asynchronous javascript and xml
captcha,completely automated public turing test to tell computers and humans apart
cd-rom,compact disc read-only memory
dvd,digital versatile disc
fios,fiber optic service
gif,graphics interchange format
jpeg,joint photographic experts group
json,javascript object notation
png,portable network graphics
ram,random access memory
sim,subscriber identity module as in a sim card
url,an initialism that stands for uniform resource locator
wifi,an abbreviation commonly thought to stand for wireless fidelity but technically it doesn’t stand for anything
awol,absent without leave
conus,the continental united states
fema,federal emergency management agency
flotus,first lady of the united states
foia,freedom of information act
hipaa,health insurance portability and accountability act of 1996
hud,department of housing and urban development
ice,immigration and customs enforcement
nato,north atlantic treaty organization
oconus,outside the continental united states
osha,occupational safety and health administration
potus,president of the united states
scotus,supreme court of the united states
swat,special weapons and tactics
wic,special supplemental nutrition program for women infants and children
aids,acquired immunodeficiency syndrome
covid-19,coronavirus disease of 2019
cpap,continuous positive airway pressure
icu,intensive care unit
nicu,neonatal intensive care unit
preop,an abbreviation for preoperative
postop,an abbreviation for postoperative
rom,range of motion
sars,severe acute respiratory syndrome
stat,an abbreviation for statim which is latin for immediately
uti,urinary tract infection
abba,the name of the famous swedish pop group combines the first initial of its members’ names—agnetha björn benny and anni-frid.
aflac,american family life assurance company of columbus
at&t,an initialism for american telephone and telegraph
bafta,british academy of film and television arts
care,cooperative for assistance and relief everywhere
cvs,an initialism for consumer value store
dare,drug abuse resistance education
epcot,experimental prototype community of tomorrow
fifa,fédération internationale de football association
geico,government employees insurance company
h&m,an initialism for hennes & mauritz
ikea,ingvar kamprad elmtaryd agunnary. the first two words are the founder’s name invgvar kamprad and the second two refer to kamprad’s family farm elmtaryd and hometown agunnary sweden
madd,mothers against drunk driving
nasdaq,national association of securities dealers automated quotations
necco,new england confectionary company
unicef,united nations children’s fund
yahoo!,yet another hierarchically organized oracle
diy,do it yourself
eobd,end of business day
eod,end of day
faq,frequently asked questions
fbi,federal bureau of investigation
hr,human resources
idk,i don’t know
mba,masters of business administration
mia,missing in action
nasa,national aeronautics and space administration
nsfw,not safe for work
omg,oh my god
omw,on my way
pos,point of service
pov,point of view
tba,to be announced
tgif,thank god it’s friday
tmi,too much information
cal,calories
cm,centimetres
corp.,corporation
dept.,department
dr.,doctor
ed.,edition
est.,established estimated
et al.,et alii and others
fl oz,fluid ounces
ft,foot feet
gal.,gallons
i.e.,id est that is
in.,inches
inc.,incorporated
jr.,junior
kg,kilograms
km,kilometres
ltd.,limited
m,metres
mg,milligrams
min,minutes
mm,millimetres
mph,miles per hour
mr.,mister
mrs.,mistress
oz,ounces
sec,seconds
sq,square
